Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
115,Dion Cools,Midtjylland ,0,1,1,100,0.43,0.43,0,0,4.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1
116,Vedran ?orluka,Loko Moscow,0,1,1,100,0.22,0.22,0,0,9,0,0,0,0.1,0.1,0.08,-0.1,-0.1
117,Jesús Corona,Porto ,0,1,0,0,0.23,0,0,,20,0,0,0,0.2,0.2,0.2,-0.2,-0.2
118,Ángel Correa,Atlético Madrid,0,4,1,25,0.98,0.24,0,0,16.8,0,0,0,0.6,0.6,0.15,-0.6,-0.6
119,Joaquín Correa,Lazio ,2,13,8,61.5,2.42,1.49,0.15,0.25,14.1,0,0,0,2.6,2.6,0.2,-0.6,-0.6
120,Diogo Costa,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
121,Douglas Costa,Bayern Munich,0,3,1,33.3,1.18,0.39,0,0,17.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
122,Thibaut Courtois,Real Madrid,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
123,Philippe Coutinho,Barcelona ,1,6,1,16.7,4.03,0.67,0.17,1,20.5,0,0,0,0.3,0.3,0.05,0.7,0.7
124,Enzo Crivelli,Ba?ak?ehir ,0,1,0,0,0.37,0,0,,7,0,0,0,0.2,0.2,0.2,-0.2,-0.2
125,Juan Cuadrado,Juventus ,0,2,0,0,0.42,0,0,,15,0,0,0,0.1,0.1,0.06,-0.1,-0.1
126,Mickaël Cuisance,Marseille ,0,1,0,0,0.38,0,0,,30.1,0,0,0,0,0,0.02,0,0
127,Szymon Czy?,Lazio ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
128,Danilo D'Ambrosio,Inter ,0,1,0,0,0.29,0,0,,11.2,0,0,0,0,0,0.04,0,0
129,Damien Da Silva,Rennes ,0,2,1,50,0.35,0.17,0,0,8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
130,Colin Dagba,Paris S-G,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
131,Mahmoud Dahoud,Dortmund ,0,4,0,0,2.31,0,0,,25.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
132,Patson Daka,RB Salzburg,0,9,3,33.3,3.95,1.32,0,0,14.2,0,0,0,1.4,1.4,0.16,-1.4,-1.4
133,Danilo,Juventus ,0,5,1,20,0.94,0.19,0,0,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
134,Matteo Darmian,Inter ,1,5,2,40,2.71,1.08,0.2,0.5,9.1,0,0,0,0.5,0.5,0.11,0.5,0.5
135,Alphonso Davies,Bayern Munich,0,1,0,0,1.18,0,0,,17.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
136,Kevin De Bruyne,Manchester City,0,5,2,40,2.73,1.09,0,0,16.3,0,0,0,0.6,0.6,0.13,-0.6,-0.6
137,Charles De Ketelaere,Club Brugge,2,10,3,30,1.97,0.59,0.2,0.67,11.5,0,0,0,2.3,2.3,0.25,-0.3,-0.3
138,Konrad De La Fuente,Barcelona ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
139,Romain Del Castillo,Rennes ,0,1,0,0,0.68,0,0,,19.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
140,Thomas Delaney,Dortmund ,0,3,1,33.3,0.82,0.27,0,0,14.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3
141,Simon Deli,Club Brugge,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
142,Ousmane Dembélé,Barcelona ,3,11,6,54.5,4.63,2.52,0.18,0.33,19.3,0,1,1,2,1.2,0.11,1,0.8
143,Merih Demiral,Juventus ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
144,Emmanuel Dennis,Club Brugge,1,5,3,60,1.32,0.79,0.2,0.33,12.8,0,0,0,0.9,0.9,0.18,0.1,0.1
145,Dentinho,Shakhtar ,1,1,1,100,0.55,0.55,1,1,9.1,0,0,0,0.5,0.5,0.55,0.5,0.5
146,Fabio Depaoli,Atalanta ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
147,Sergiño Dest,Barcelona ,1,4,1,25,0.8,0.2,0.25,1,20.7,0,0,0,0.3,0.3,0.09,0.7,0.7
148,Ángel Di María,Paris S-G,1,12,3,25,3.04,0.76,0.08,0.33,21.8,2,0,1,1.7,1,0.08,-0.7,0
149,Abdou Diallo,Paris S-G,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
150,Rúben Dias,Manchester City,0,3,0,0,0.75,0,0,,6.7,0,0,0,1,1,0.32,-1,-1
